time_seconds,link_id,aggregated_gbps
0.0,Link_Test_1,2.6745
0.1,Link_Test_1,3.2045
0.2,Link_Test_1,2.731
0.3,Link_Test_1,2.8025
0.4,Link_Test_1,2.6015
0.5,Link_Test_1,2.5868
0.6,Link_Test_1,3.0201
0.7,Link_Test_1,2.9915
0.8,Link_Test_1,2.9892
0.9,Link_Test_1,2.7527
1.0,Link_Test_1,3.1796
1.1,Link_Test_1,3.0003
1.2,Link_Test_1,3.1522
1.3,Link_Test_1,2.981
1.4,Link_Test_1,2.9761
1.5,Link_Test_1,3.2237
1.6,Link_Test_1,3.4578
1.7,Link_Test_1,3.2651
1.8,Link_Test_1,2.9932
1.9,Link_Test_1,2.9429
2.0,Link_Test_1,3.0921
2.1,Link_Test_1,3.3189
2.2,Link_Test_1,3.1752
2.3,Link_Test_1,3.4018
2.4,Link_Test_1,3.1751
2.5,Link_Test_1,3.2134
2.6,Link_Test_1,3.2874
2.7,Link_Test_1,2.9827
2.8,Link_Test_1,3.4056
2.9,Link_Test_1,3.0634
3.0,Link_Test_1,3.2822
3.1,Link_Test_1,3.2768
3.2,Link_Test_1,2.9084
3.3,Link_Test_1,3.2766
3.4,Link_Test_1,3.3914
3.5,Link_Test_1,3.5383
3.6,Link_Test_1,3.2763
3.7,Link_Test_1,3.3689
3.8,Link_Test_1,3.4104
3.9,Link_Test_1,3.402
4.0,Link_Test_1,3.288
4.1,Link_Test_1,3.6435
4.2,Link_Test_1,3.4513
4.3,Link_Test_1,3.2265
4.4,Link_Test_1,3.3182
4.5,Link_Test_1,3.2604
4.6,Link_Test_1,3.7084
4.7,Link_Test_1,3.7368
4.8,Link_Test_1,3.5998
4.9,Link_Test_1,3.5614
5.0,Link_Test_1,3.644
5.1,Link_Test_1,3.5971
5.2,Link_Test_1,3.5709
5.3,Link_Test_1,3.6169
5.4,Link_Test_1,3.5952
5.5,Link_Test_1,3.5541
5.6,Link_Test_1,3.5128
5.7,Link_Test_1,3.8574
5.8,Link_Test_1,3.9908
5.9,Link_Test_1,3.746
6.0,Link_Test_1,3.6244
6.1,Link_Test_1,3.4824
6.2,Link_Test_1,3.6422
6.3,Link_Test_1,3.4025
6.4,Link_Test_1,3.4577
6.5,Link_Test_1,3.3928
6.6,Link_Test_1,3.8858
6.7,Link_Test_1,3.5624
6.8,Link_Test_1,3.529
6.9,Link_Test_1,3.4384
7.0,Link_Test_1,3.4297
7.1,Link_Test_1,3.4818
7.2,Link_Test_1,3.6751
7.3,Link_Test_1,3.5887
7.4,Link_Test_1,3.3725
7.5,Link_Test_1,3.7079
7.6,Link_Test_1,3.6369
